No,niche_id,application_types,Product Type,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes
153,ecommerce;portfolio,storefront;product-grid;marketplace;design-portfolio;photography;creative-studio;gallery,Party Supply & Balloon Shop,#FF1493,#00CED1,#FFD700,#FFFAFF,#2C2C54,#FFB6C1,Celebration Central: Hot pink, turquoise, and gold for festive party excitement.
154,marketing,landing-page;hero-section;campaign-site,Birthday & Event Planning,#FF6F61,#6B5B95,#88D8B0,#FFFFF0,#2C3E50,#FFE4E1,Party Perfect: Coral celebration, regal purple, mint confetti for unforgettable events.
155,marketing,landing-page,Playful Family Activities,#FF6B9D,#FFA07A,#20B2AA,#FFFAF0,#2F4F4F,#FFE4E1,Family Fun: Bubblegum pink, peachy coral, aqua adventure for all ages.
156,portfolio,design-portfolio;photography;creative-studio;gallery,Kids Party Entertainer / Clown,#FF4757,#FFA502,#1E90FF,#FFFEF7,#2C3E50,#FFD93D,Circus Joy: Red nose, orange fun, dodger blue balloons for maximum entertainment.
157,blog,blog;editorial;article;magazine,Mom Lifestyle Blog (Peach/Coral),#FF9F80,#FFB6C1,#B8A588,#FFFAF5,#5D4E37,#F5DEB3,Soft Mom Aesthetic: Peach coral warmth, blush tenderness, warm taupe for approachable motherhood.
158,blog,blog;editorial;article;magazine,Mom Blog Pastels,#F8B4D1,#B4A7D6,#93C9A5,#FFFCF7,#4A5568,#E8D5E0,Pastel Mom: Blush pink compassion, lavender calm, sage green growth for gentle parenting.
159,education,lms;online-course;training-platform,LMS Platform,#1E40AF,#3B82F6,#F59E0B,#F8FAFC,#1E293B,#DBEAFE,Knowledge Blue: Trustworthy blue with progress-amber CTA for course completion.
160,education,student-portal;certification-site;lms,University Portal,#1E3A5F,#2C5282,#10B981,#FFFFFF,#1F2937,#E5E7EB,Academic Trust: Deep navy institutional blue with success-green for achievements.
161,education,classroom-tool;quiz-platform;tutoring-app,K-12 Classroom,#7C3AED,#A78BFA,#F97316,#FEFCE8,#1F2937,#E9D5FF,Playful Learning: Purple creativity with energetic orange for engagement.
162,education,online-course;training-platform;certification-site,Online Course Platform,#0F766E,#14B8A6,#6366F1,#F0FDFA,#134E4A,#99F6E4,Growth Teal: Fresh teal progress with indigo accent for milestones.
163,education,training-platform;lms;certification-site,Corporate Training,#334155,#64748B,#2563EB,#F8FAFC,#0F172A,#E2E8F0,Professional Slate: Neutral corporate with trustworthy blue CTA.
164,realestate,property-listing;agent-portfolio;virtual-tour,Luxury Property,#1C1917,#292524,#D4AF37,#FAFAF9,#0C0A09,#E7E5E4,Estate Gold: Premium dark stone with aspirational gold accents.
165,realestate,property-search;rental-platform;property-listing,Modern Realty,#0F766E,#14B8A6,#1D4ED8,#F0FDFA,#134E4A,#99F6E4,Trust Teal: Fresh modern teal with reliable blue for search CTAs.
166,realestate,real-estate-crm;property-management;home-valuation,Property Management,#1E293B,#475569,#10B981,#F8FAFC,#0F172A,#E2E8F0,Management Slate: Professional dark with positive-green status indicators.
167,realestate,property-listing;agent-portfolio;property-search,Residential Realty,#1E40AF,#3B82F6,#F59E0B,#FFFFFF,#1E293B,#DBEAFE,Classic Blue Trust: Established real estate blue with warm amber highlights.
168,realestate,rental-platform;property-management;property-listing,Rental Platform,#4F46E5,#818CF8,#F97316,#EEF2FF,#1E1B4B,#C7D2FE,Indigo Rental: Modern indigo with availability-orange CTA.
169,social,social-network;social-feed;member-directory,Social Network,#4F46E5,#818CF8,#F43F5E,#EEF2FF,#1E1B4B,#C7D2FE,Social Indigo: Engaging indigo with notification-rose for interactions.
170,social,community-forum;discussion-board;group-platform,Community Forum,#0F766E,#14B8A6,#F59E0B,#F0FDFA,#134E4A,#99F6E4,Forum Teal: Approachable teal with contribution-amber highlights.
171,social,messaging-app;social-feed;social-network,Messaging App,#2563EB,#60A5FA,#10B981,#F8FAFC,#1E293B,#DBEAFE,Message Blue: Clean communication blue with online-green status.
172,social,group-platform;event-community;member-directory,Professional Network,#1E293B,#475569,#2563EB,#F8FAFC,#0F172A,#E2E8F0,Network Slate: Serious professional slate with connect-blue CTA.
173,social,event-community;social-feed;group-platform,Event Community,#7C3AED,#A78BFA,#F97316,#FAFAFA,#1E1B4B,#E9D5FF,Event Purple: Vibrant purple energy with attention-orange for upcoming events.
174,food,restaurant-site;reservation-system;menu-display,Fine Dining,#1C1917,#292524,#D4AF37,#FAFAF9,#0C0A09,#44403C,Culinary Gold: Elegant black with luxurious gold for upscale dining.
175,food,food-ordering;food-delivery;restaurant-site,Food Delivery,#DC2626,#F87171,#FFFFFF,#FEF2F2,#450A0A,#FECACA,Delivery Red: Urgent appetite-red with clean white CTA for fast ordering.
176,food,recipe-platform;food-blog;restaurant-site,Recipe Platform,#92400E,#D97706,#065F46,#FFFBEB,#78350F,#FDE68A,Harvest Warm: Rich amber warmth with herb-green accent for fresh ingredients.
177,food,food-ordering;food-delivery;catering-service,Fast Casual,#F97316,#FB923C,#1D4ED8,#FFF7ED,#7C2D12,#FFEDD5,Casual Orange: Energetic orange with trustworthy blue order button.
178,food,restaurant-site;reservation-system;catering-service,Farm to Table,#15803D,#22C55E,#78350F,#F0FDF4,#14532D,#BBF7D0,Organic Green: Natural green with earthy brown for rustic authenticity.
179,travel,booking-platform;hotel-booking;vacation-rental,Luxury Resort,#0C4A6E,#0369A1,#D4AF37,#F0F9FF,#082F49,#BAE6FD,Resort Azure: Deep ocean blue with champagne-gold for premium bookings.
180,travel,flight-search;booking-platform;hotel-booking,Booking Platform,#1E40AF,#3B82F6,#F59E0B,#F8FAFC,#1E293B,#DBEAFE,Trust Blue Booking: Reliable blue with deal-amber for price highlights.
181,travel,tour-operator;travel-blog;vacation-rental,Adventure Travel,#065F46,#059669,#F97316,#F0FDF4,#064E3B,#D1FAE5,Jungle Green: Lush adventure green with explorer-orange CTA.
182,travel,travel-planner;itinerary-builder;booking-platform,Travel Planner,#4F46E5,#818CF8,#10B981,#EEF2FF,#1E1B4B,#C7D2FE,Planner Indigo: Organized indigo with confirmation-green for itineraries.
183,travel,hotel-booking;vacation-rental;tour-operator,Budget Travel,#0891B2,#22D3EE,#F43F5E,#ECFEFF,#155E75,#CFFAFE,Backpacker Cyan: Fresh budget-friendly cyan with deal-rose highlights.
184,nonprofit,charity-site;donation-platform;ngo-site,Charity Organization,#0F766E,#14B8A6,#F59E0B,#F0FDFA,#134E4A,#99F6E4,Compassion Teal: Warm approachable teal with donate-amber CTA.
185,nonprofit,government-portal;public-service;grant-management,Government Portal,#1E293B,#475569,#2563EB,#F8FAFC,#0F172A,#E2E8F0,Civic Slate: Authoritative slate with accessible action-blue.
186,nonprofit,volunteer-platform;charity-site;ngo-site,Volunteer Platform,#15803D,#22C55E,#7C3AED,#F0FDF4,#14532D,#BBF7D0,Growth Green: Hopeful green with impact-purple volunteer CTA.
187,nonprofit,advocacy-site;donation-platform;ngo-site,Environmental NGO,#064E3B,#065F46,#0EA5E9,#F0FDF4,#022C22,#DCFCE7,Earth Green: Deep environmental green with awareness sky-blue accent.
188,nonprofit,charity-site;public-service;grant-management,Community Foundation,#1E40AF,#3B82F6,#10B981,#FFFFFF,#1E293B,#DBEAFE,Foundation Blue: Trustworthy institutional blue with impact-green indicators.
