"application_type","keywords","visual_style","landing_page","dashboard_layout","color_palette","essential_ux","ui_style_bias"
"Hyperlocal Services","hyperlocal, local, nearby, neighborhood, service, booking, provider, on-demand, location","Map-forward, trust-anchored, and action-oriented. Layouts must balance geographic discovery with service provider details. Typography should be clear and functional — optimized for quick scanning of names, ratings, prices, and availability. Use familiar map interaction patterns. Avoid overly stylized map aesthetics or complex filtering that slows down the path from search to booking.","Landing page opens with location detection or search, immediately surfacing nearby service categories and top-rated providers. Below the fold: how it works (3 steps: search, book, done), trust signals (vetting process, insurance, guarantees), and provider testimonials. Category browsing should be visual (icons + labels) and limited to top 8-12 categories before requiring search. Single CTA to search or book. Avoid: generic hero images without location context, hidden service areas, or marketing content that delays the user from finding a local provider.","Split-view layout: map on one side, provider list on the other — with responsive collapse to list-first on mobile. Provider cards show photo, name, rating (numerical + count), price range, distance, and availability indicator. Map pins cluster at zoom-out and expand on zoom-in with summary tooltips. Filters: service type, price range, availability (today/this week), rating minimum, distance radius. Provider detail view shows reviews, portfolio/photos, credentials, availability calendar, and booking action. Avoid: map-only views that hide provider details, list-only views that lose geographic context, or filters that require scrolling to apply.","Neutral, professional base with trust-oriented primary accent (blue or teal). Map uses standard cartographic conventions — avoid custom map themes that sacrifice readability. Provider cards on white or very light backgrounds for clarity. Semantic colors: green for available/verified, amber for limited availability, red for unavailable/flagged. Rating stars in gold or amber. Category icons should use the primary accent consistently. Avoid: bright or playful palettes that undermine service professionalism, map overlays that reduce pin visibility, or provider card backgrounds that compete with profile photos.","Location accuracy and booking confidence are the primary UX constraints. Location detection must request permission clearly and fall back to manual entry gracefully — never block the experience on location denial. Service area boundaries must be honest: show when a provider does not cover the user's area rather than presenting irrelevant results. Provider availability must be real-time or clearly timestamped. Booking confirmation must include provider details, service description, date/time, price, and cancellation policy — all on one screen. Reviews must be verified (tied to completed bookings) and sortable by recency and relevance. Provider response time expectations should be set clearly. Support in-app messaging between user and provider with booking context attached. Avoid: showing providers outside the service area, stale availability data, booking flows that hide cancellation terms, or review systems that cannot distinguish verified from unverified reviews.","Map-forward, trust-anchored UI; emphasizes proximity discovery, provider credibility, and fast booking"
"Beauty / Spa / Wellness Service","beauty, spa, wellness, salon, massage, skincare, facial, nail, waxing, aesthetic, self-care, treatment","Serene, sensory, and aspirational. Layouts should evoke calm and indulgence through generous whitespace, soft shapes, and high-quality imagery. Typography should feel elegant but readable — light-weight serifs or refined sans-serifs for headings, clean sans-serifs for body. Use imagery as a primary design element (treatments, environments, textures). Motion should be smooth and unhurried. Avoid clinical aesthetics, dense layouts, or aggressive sales-oriented patterns that break the relaxation promise.","Landing page must evoke the in-person experience visually — lead with atmospheric photography of the space and treatments, not stock models. Communicate core services, location, and booking availability above the fold. Below the fold: service menu with pricing (never hide prices), before/after gallery (with client consent), practitioner credentials, and client testimonials. Single CTA for booking — always visible, never competing with secondary actions. Gift card and package options should be discoverable but not dominating. Avoid: auto-playing background music, hero carousels that delay booking access, or landing pages that feel like product catalogs rather than invitations.","Service menu is the primary navigation hub — organized by category (face, body, nails, packages) with clear pricing, duration, and brief descriptions. Booking flow must show real-time practitioner availability with calendar view, allow service add-ons during booking (not after), and confirm total price before submission. Client profile stores preferences, allergies, treatment history, and rebooking shortcuts. Loyalty/membership status visible on dashboard with clear benefit tracking. Gallery section should be filterable by service type. Avoid: booking flows longer than 3 steps, service menus without pricing, practitioner selection without photos/bios, or membership terms hidden in fine print.","Soft, luxurious palette — muted blush, sage, cream, warm taupe, or soft lavender as primary tones depending on brand positioning. Background warm off-white or cream, never stark white. Accent color used sparingly for CTAs and active states — rose gold, soft gold, or deep botanical green work well. Imagery should drive the color story. Semantic colors softened: muted green for confirmed, warm amber for pending, soft rose for cancellation. Dark mode is generally unnecessary for this category — the warm, light aesthetic is the brand. Avoid: high-saturation colors that feel clinical or energetic, dark backgrounds that undermine the calming atmosphere, or palettes that clash with treatment photography.","Booking convenience is the primary UX driver — users should go from landing to confirmed appointment in under 60 seconds for returning clients. Rebooking recent services must be one-tap. Cancellation and rescheduling policies must be stated clearly during booking, not buried in terms. Intake forms for new clients (allergies, skin conditions, preferences) should be completable on mobile before arrival. Appointment reminders should include preparation instructions (arrive early, avoid certain products). Before/after galleries must obtain and display consent clearly. Reviews should be tied to verified visits. Gift card purchase and redemption must be frictionless — no codes to manually enter if digital. Avoid: booking systems that require calling for availability, intake forms that repeat questions for returning clients, hidden cancellation fees, or photo galleries that use client images without visible consent.","Serene, sensory UI; emphasizes atmospheric imagery, effortless booking, and soft luxurious tones"
"Luxury / Premium Brand","luxury, premium, brand, exclusive, high-end, designer, couture, bespoke, prestige","Cinematic, editorial, and restrained. Every design choice must reinforce exclusivity and craftsmanship. Use dramatic whitespace, oversized typography for statements, and controlled asymmetry. Imagery must be art-directed — never stock. Motion should be smooth, deliberate, and purposeful, enhancing the sense of precision. Layouts should feel curated and intentional, never busy. Avoid trends that date quickly, generic UI patterns, or any element that dilutes the perception of scarcity and quality.","Landing page is an editorial experience — lead with a full-bleed hero featuring a single product or campaign image with minimal text overlay. The brand story unfolds through scrolling, not through feature lists. Below the fold: curated collections (3-5 max), craftsmanship narrative with close-up product details, and heritage/provenance section. CTA is understated but clear — ""Explore the Collection"" or ""Request an Appointment"" rather than aggressive ""Buy Now"". For brands with physical locations: boutique finder prominently placed. Social proof is implicit through brand heritage, press features, and celebrity association — never user-generated star ratings. Avoid: discount banners, pop-up modals, chatbot widgets, urgency timers, or any element that cheapens the perception.","Navigation should be minimal (4-6 items max) with clean typography — mega-menus only if the catalog demands it, and even then, restrained and image-rich. Product pages are editorial spreads: multiple high-resolution images with zoom capability, detailed material/craftsmanship descriptions, and sizing/care information. Product grids use generous spacing with 2-3 columns maximum. Shopping bag replaces ""cart"" in language. Wishlist and save functionality available without creating an account. For appointment-based brands: scheduling interface should feel personal and concierge-like, not transactional. Avoid: dense product grids, aggressive cross-sell modules, cluttered filters, or UX patterns borrowed from mass-market e-commerce.","Black, white, and one signature brand accent define the palette. Background is either pure white with dramatic dark type, or rich dark (near-black, deep navy) with light type — never gray or mid-tone backgrounds that feel indecisive. Gold, champagne, or deep burgundy as accent for interactive elements and highlights. Product photography backgrounds must be consistent and complementary. Typography color maintains maximum contrast. Semantic colors are minimal and muted — confirmations in subtle green, errors in soft red, never alarming. Dark mode is the natural state for many luxury brands; light mode should feel equally intentional. Avoid: gradients, bright accent colors, colored backgrounds that compete with products, or palette choices that signal mass-market positioning.","The luxury UX paradox: the experience must feel effortless while maintaining an aura of exclusivity. Page load performance is critical — slow loading destroys the illusion of quality (perceived performance directly maps to perceived brand quality). Images must be high-resolution but optimized; use progressive loading that reveals beauty, not placeholder boxes. Product discovery should feel curated, not algorithmic — editorial recommendations over ""customers also bought."" Checkout must be seamless with minimal form fields, address auto-complete, and premium payment options (Apple Pay, concierge ordering). Packaging and delivery expectations should be set clearly — luxury customers expect premium unboxing. Returns must be handled gracefully with prepaid labels and no-questions policies communicated upfront. Personalization should feel like a concierge relationship, not surveillance — ""Your stylist recommends"" over ""Based on your browsing history."" Avoid: generic recommendation engines, pop-up discount offers, CAPTCHA on checkout, aggressive email capture modals, or any friction that contradicts the promise of premium service.","Cinematic, editorial UI; emphasizes craftsmanship, dramatic whitespace, and restrained exclusivity"
"Restaurant / Food Service","restaurant, food, dining, menu, order, delivery, reservation, takeout, cuisine, catering","Warm, appetizing, and action-oriented. Food photography must drive the visual experience — layouts should frame images generously with warm lighting tones. Typography should feel inviting and readable at menu-scanning speed — avoid decorative scripts that sacrifice legibility. Use modular blocks for menu categories. Motion should be subtle and purposeful (cart updates, order confirmations). Avoid cold, corporate aesthetics or overly minimal designs that strip the sensory appeal from food.","Landing page must answer three questions instantly: what cuisine, how to order, and where/when. Hero features high-quality food photography — not the restaurant exterior. Menu or top dishes visible without scrolling. Location, hours, and ordering options (dine-in, takeout, delivery) prominent above the fold. Below the fold: full menu preview, reservation widget, and delivery radius or third-party app links. Single primary CTA — ""Order Now"" or ""Reserve a Table"" depending on business model. Avoid: hero carousels of generic food stock photos, menus available only as PDF downloads, or hidden hours and location.","Menu is the primary interface — organized by category (appetizers, mains, desserts) with item photos, descriptions, dietary tags (vegetarian, gluten-free, spicy level), and prices always visible. For ordering: cart persists across navigation, item customization (toppings, sides, special instructions) is inline not modal, and order total updates in real-time. For reservations: date/time/party-size selector with instant availability confirmation. Order tracking shows clear status progression (confirmed, preparing, ready/en-route). Avoid: menus without prices, item customization flows longer than 2 steps, order tracking that requires page refresh, or PDF-only menus that break mobile usability.","Warm, appetite-stimulating palette — deep oranges, warm reds, rich browns, and cream as the base spectrum. Background warm white or light cream to let food photography pop. Accent color for CTAs and cart indicators. Dietary and allergen tags use consistent, subdued color coding (green for vegetarian, amber for contains allergens). Avoid: cool blues or clinical whites that suppress appetite (color psychology research consistently links warm tones to food appeal), dark themes that diminish food photography quality, or neon accents that feel fast-food generic.","Speed and clarity drive conversion — users decide and order quickly or abandon. Menu load time is critical; lazy-load images but never show empty placeholder grids. Dietary and allergen information must be filterable, not just labeled — users with restrictions need to narrow the menu, not scan every item. Special instructions field must be prominent and generous (not a tiny text input). Delivery estimates must be honest and updated in real-time — overpromising and underdelivering destroys trust faster than a longer honest estimate. Tipping interface should present fair defaults without dark patterns (pre-selected high percentages, guilt-inducing copy). Reservation confirmations must include cancellation policy and modification options. For multi-location brands: location selector must auto-detect or prompt clearly, never serve a menu for the wrong location. Avoid: menus that require zooming on mobile, checkout flows that add fees at the last step, order minimums hidden until cart review, or reservation systems that do not send confirmation emails/texts.","Warm, appetizing UI; emphasizes food photography, fast ordering, and clear menu hierarchy"
"Fitness / Gym App","fitness, gym, workout, exercise, training, health, strength, cardio, yoga, CrossFit","Energetic, motivational, and performance-driven. Dark mode default suits focused workout sessions and reduces glare in gym environments. Layouts must surface active workout state prominently with large, glanceable typography for reps, sets, and timers. Use bold contrast and dynamic elements that reinforce energy without distracting during exercise. Avoid overly decorative or playful aesthetics that undermine the serious training mindset — the UI is a tool, not entertainment.","Landing page must communicate the training philosophy and target audience immediately — generic ""get fit"" messaging fails to differentiate. Show the core workout experience (app screenshots during a session, not just marketing renders). Below the fold: sample workout plans, progress examples with real metrics, and trainer/methodology credentials. For gym apps: class schedule, facility info, and membership pricing visible without scrolling. Single CTA to start a free workout or trial. Avoid: before/after body transformation photos as primary marketing (body-shaming concerns), hidden pricing, or landing pages that look identical to every other fitness app.","Active workout screen is the hero — timer, current exercise with form guidance (video or illustration), rep/set counter, and rest period timer must be visible simultaneously without scrolling. Navigation during workout must be minimal (pause, skip, end). Workout library organized by type (strength, cardio, flexibility, HIIT), muscle group, duration, and difficulty. Progress dashboard shows key metrics: workout frequency, volume trends, personal records, and streak (with forgiving streak logic — missed days should not reset months of progress). Calendar view for workout history and scheduling. For gym/class apps: schedule with real-time availability, waitlist, and check-in. Avoid: cluttered workout screens that require scrolling mid-exercise, progress dashboards that only show weight/body metrics (train metrics over body metrics), or workout libraries without clear difficulty indicators.","Dark background default (near-black or very dark charcoal) with high-energy accent — electric blue, vibrant orange, or neon green depending on brand energy. White or light gray text with strong contrast for readability in varied lighting (bright gym, outdoor, dark bedroom). Timer and active exercise elements use the accent color for emphasis. Progress charts use the accent spectrum. Rest period screens can dim slightly to signal pause. Semantic colors: green for completed/PR, amber for in-progress, red for skipped or missed. Light mode alternative for users who prefer it, maintaining the same energy. Avoid: low-contrast text that is unreadable in bright gym lighting, pure black backgrounds that feel lifeless, or pastel palettes that undermine workout intensity.","Mid-workout usability is the critical constraint — users interact with sweaty hands, limited attention, and time pressure. Touch targets must be oversized (minimum 48px, ideally larger). Workout controls (pause, skip, complete set) must be accessible with one hand. Auto-lock prevention during active workouts is essential. Timer audio cues supplement visual indicators for users who cannot watch the screen. Rest period timers should auto-start and provide haptic/audio alerts. Exercise form guidance (video, animation, or cues) prevents injury and builds confidence — this is a safety feature, not a nice-to-have. Progress tracking should celebrate consistency over intensity — streaks that forgive occasional misses, personal records highlighted automatically, and gentle re-engagement after breaks (not guilt). Offline support for workout execution is mandatory — gym connectivity is unreliable. Sync when back online seamlessly. Avoid: tiny buttons during active workouts, mandatory internet for workout playback, guilt-based re-engagement notifications (""You've been inactive for 5 days!""), or progress metrics that only track body weight.","Dark, energetic UI; emphasizes glanceable workout data, bold contrast, and motivational progress cues"
"Real Estate / Property","real estate, property, housing, rent, buy, sell, listing, apartment, mortgage, agent, broker, home","Trust-forward, image-rich, and search-driven. Layouts must balance large property photography with structured listing data (price, beds, baths, sqft, location). Typography should be clean and confident — optimized for scanning numerical data and addresses. Map integration is core, not supplementary. Avoid flashy or trendy aesthetics that distract from the largest financial decision most users will make.","Landing page opens with a prominent search bar (location, buy/rent toggle, price range) — this is the primary action, not a hero image. Below the search: featured listings with high-quality photos, neighborhood spotlights, and market insights (median prices, trends). For agent sites: credentials, sold history, and client testimonials. Single CTA to search or contact an agent. Mortgage calculator or affordability tool should be discoverable but secondary. Avoid: auto-playing video tours on landing, hero images without search functionality, or hiding the buy/rent distinction behind navigation.","Search results in split-view: map with listing pins on one side, scrollable listing cards on the other. Listing cards show lead photo, price, key specs (bed/bath/sqft), address, and days-on-market. Map pins display price on hover. Saved searches and favorites must persist across sessions without requiring sign-up for basic use. Property detail pages: photo gallery with intuitive swipe/grid toggle, virtual tour embed, property details in scannable sections (not paragraphs), neighborhood data (schools, transit, walkability scores), price history, and clear contact/schedule-tour CTA. For agent dashboards: pipeline view of leads, showing activity, and listing performance metrics. Avoid: listing cards without photos, property pages that bury square footage or lot size, map views without price indicators, or search results that cannot be sorted by multiple criteria.","Professional, trust-anchored palette — deep blue or navy as primary, warm gold or amber as accent for CTAs and featured badges. Background white or very light gray to let property photography dominate. Map uses standard cartographic styling for readability. Price and status indicators: green for new/reduced, amber for pending, red for sold/off-market. Agent branding accommodated subtly within listing cards. Dark mode optional but property photos must render accurately in both modes. Avoid: colored backgrounds that cast tints on property photos, playful or casual palettes that undermine the gravity of the transaction, or status colors that are ambiguous (e.g., using blue for both links and pending status).","Property search is the primary UX — search must support natural-language-like inputs (""3 bed under 500k near downtown""), saved searches with notifications for new matches, and map-draw custom boundaries. Photo quality makes or breaks listings; support high-resolution galleries with fast loading (progressive JPEG, lazy load). Virtual tours must load quickly and work on mobile without app installation. Contact forms must clearly set response-time expectations. Mortgage/affordability calculators should use current rates and update dynamically. Listing freshness is critical — clearly display days-on-market and last-updated timestamps; stale listings erode platform trust. Comparison tools (side-by-side properties) reduce decision fatigue. For renters: application status tracking, document upload, and lease review tools. Avoid: requiring account creation before viewing listings, contact forms that hide which agent responds, photo galleries without clear unit counts, or school/transit data that cannot be verified against authoritative sources.","Trust-forward, image-rich UI; emphasizes property search, map integration, and transparent listing data"
"Travel / Tourism","travel, tourism, vacation, flight, hotel, booking, destination, trip, itinerary, resort, tour","Aspirational, immersive, and discovery-oriented. Layouts must balance inspirational destination imagery with practical booking mechanics. Typography should feel modern and confident — readable across dense itinerary data and evocative in editorial contexts. Use full-bleed photography and smooth transitions to evoke wanderlust, but ensure booking flows are efficient and distraction-free. Avoid generic stock imagery or cluttered interfaces that reduce travel to a transaction.","Landing page must inspire and enable simultaneously — hero with stunning destination imagery and an integrated search bar (destination, dates, travelers). Below the fold: curated destination collections, seasonal deals with transparent pricing (total price, not per-night buried fees), and editorial content (travel guides, itineraries). Social proof via traveler reviews with photos, not just star ratings. For tour operators: highlight unique experiences, group sizes, and guide expertise. Single CTA to search or explore deals. Avoid: pop-up deal alerts, hidden resort fees revealed at checkout, or hero sections that prioritize airline/hotel branding over destinations.","Search results must show total price including all fees and taxes — never a base rate that inflates at checkout. Listing cards: lead photo, destination, dates, total price, and key differentiators (free cancellation, breakfast included, rating). Filters for price range, star rating, amenities, cancellation policy, and distance to landmarks. Comparison view for shortlisted options. Itinerary builder organizes bookings chronologically with map visualization of the route. Booking detail pages: room/flight specifics, cancellation terms, included amenities, and traveler reviews inline. For multi-segment trips: clear per-segment pricing and cross-sell (car rental, activities) that is helpful, not aggressive. Avoid: search results sorted by commission rather than relevance, price displays that exclude mandatory fees, or itinerary views that cannot be shared or exported.","Destination-adaptive palette strategy — the platform chrome stays neutral (clean whites, warm grays, confident navy or dark charcoal for headers) while destination photography drives the emotional color story. Primary accent for CTAs and interactive elements — warm coral, ocean blue, or sunset amber depending on brand positioning. Price and deal tags use a consistent highlight color (warm gold or bright accent). Semantic colors: green for available/free cancellation, amber for limited availability, red for sold out or non-refundable. Map styling clean and readable. Avoid: busy patterns or gradients that compete with destination photography, cool corporate palettes that drain the aspirational warmth, or inconsistent accent colors across different booking stages.","Price transparency is the single biggest trust factor — display total costs including taxes, fees, and mandatory charges from the first search result. Drip pricing (revealing fees progressively through checkout) is the most-cited reason travelers abandon bookings and distrust platforms. Cancellation policies must be stated in plain language with specific dates (""Free cancellation until March 15"") not vague terms (""flexible""). Date picker must support flexible-date search (cheapest in month, weekend trips) and clearly show price variation by date. Multi-currency and timezone handling must be automatic with clear labeling. Booking confirmation must include all essential details on one screen and via email: confirmation number, dates, address, cancellation terms, and emergency contact. Travel document requirements (visa, passport validity, vaccination) should surface proactively for international destinations. Saved trips and wishlists must sync across devices. Avoid: drip pricing, checkout flows that add fees in final steps, date pickers that do not show price variation, or booking confirmations that lack cancellation instructions.","Aspirational, immersive UI; emphasizes destination photography, transparent pricing, and seamless booking flow"
"Hotel / Hospitality","hotel, hospitality, resort, lodge, inn, boutique hotel, guest, accommodation, booking, stay","Warm, polished, and confidence-building. Layouts must showcase rooms and amenities through high-quality photography while keeping booking mechanics fast and predictable. Typography should feel refined and hospitable — warm sans-serifs or elegant serifs for headings, clean sans-serifs for rates and details. Every screen should reinforce the feeling of being welcomed, not sold to. Avoid cold transactional aesthetics or over-designed interfaces that slow the path from browsing to booking.","Landing page leads with the property's signature visual — hero image of the defining space (lobby, pool, view, signature room) with integrated date/guest search. Below the fold: room categories with lead photos and starting rates, amenities grid with icons, location context (map, nearby attractions, transit), and guest reviews. For chains: property selector with location search. Seasonal or promotional rates should be visible but not dominating. Single CTA to check availability. Avoid: auto-rotating hero carousels that delay search, hidden total pricing, room descriptions without photos, or burying the location and contact information.","Room selection presents categories with photo galleries, rate comparison (flexible vs. non-refundable), amenity lists, and occupancy limits. Calendar-based availability must show rate variation by date and highlight minimum-stay requirements upfront. Booking summary persists during the flow showing room, dates, rate, taxes, and total — updated in real-time as add-ons are selected. Upsell opportunities (room upgrades, breakfast, spa packages, late checkout) presented as helpful suggestions at appropriate moments, not aggressive interstitials. Guest portal post-booking: reservation details, check-in/out times, pre-arrival requests (pillow preference, early check-in), and digital key where supported. For property dashboards: occupancy calendar, revenue per available room, guest communication log, and housekeeping status. Avoid: booking flows longer than 3 steps, rate calendars that hide fees until checkout, upsell modals that block the booking path, or post-booking portals that require a separate account from the booking.","Warm, welcoming palette — cream, warm taupe, and soft gold as the foundation. Primary accent in deep warm tones (burgundy, forest green, or navy) depending on property positioning. Gold or champagne for premium indicators and CTAs. Background warm off-white, never stark or clinical. Photography backgrounds should feel consistent and true to the property's actual lighting. Rate displays use clear, high-contrast typography. Semantic colors: green for available, amber for limited rooms, red for sold out. Seasonal or promotional rates highlighted with a warm accent tag, not aggressive red sale badges. Avoid: cool corporate blues that feel like an OTA rather than a property, dark themes that diminish room photography, or inconsistent color temperature between marketing imagery and actual property photos.","Rate transparency builds booking confidence — display total cost including taxes, resort fees, and mandatory charges from the availability view, not at checkout. This is the single highest-impact trust factor; hidden fees are the top reason guests book through OTAs instead of direct. Cancellation policy must be stated in plain language with specific deadline dates on the booking summary. Date flexibility tools (cheapest night indicator, flexible date search) reduce abandonment. Room photography must be accurate and current — misrepresentation causes negative reviews disproportionate to the actual shortcoming. Check-in/out process should be streamable digitally with clear timing expectations. Guest communication (pre-arrival, during stay, post-checkout) should be proactive but not intrusive — one confirmation email, one pre-arrival details email, one post-stay feedback request. Accessibility information (ADA rooms, elevator access, service animal policy) must be findable without contacting the property. Loyalty program status and benefits should be visible throughout the booking flow for members. Avoid: resort fee disclosure only at checkout, room photos that misrepresent size or view, mandatory phone calls for modifications, or feedback requests before the guest has checked out.","Warm, polished UI; emphasizes property photography, transparent rates, and hospitable booking confidence"
"Wedding / Event Planning","wedding, event planning, bridal, ceremony, celebration, party, planner, reception, nuptial, event coordinator","Elegant and warm with a soft, romantic sensibility. Typography should lean editorial — use serif or semi-serif headings paired with clean body text. Layouts should feel curated, not cluttered. Generous whitespace and soft color transitions create a premium, aspirational feel. Photography should be large and emotive. Avoid: corporate stiffness, overly playful elements, and anything that feels mass-market. The tone should feel personal and bespoke.","Hero should feature aspirational event photography — a real moment, not staged perfection. Lead with emotional messaging that speaks to the experience, not a feature list. Below the fold: portfolio gallery organized by event type or style, a concise services overview, and a testimonials section with couple names and photos. Pricing should be presented as starting-from tiers or a consultation CTA — avoid rigid pricing grids. A planning timeline or process overview builds confidence. Vendor partnerships can be shown subtly. CTA should invite consultation, not hard-sell.","If a client portal exists, organize around the event timeline — a visual timeline of milestones (venue, catering, florals, etc.) with completion status. Checklist functionality with due dates and assignment. Budget tracker with category breakdown and remaining balance. Vendor contact directory. Shared inspiration board or mood board area. Document storage for contracts and proposals. Avoid: complex dashboards with charts — wedding planning is task-driven, not analytics-driven.","Soft, warm palette with romantic undertones. Use muted pinks, sage greens, warm creams, and gold accents — avoid saturated or neon tones. The palette should feel timeless rather than trendy. Reserve gold or rose gold for premium accents and CTAs. Backgrounds should be warm white or soft cream, never stark white. Ensure the palette works with diverse photography — it should complement, not compete with, client imagery.","Trust and emotional connection drive conversions. Social proof through real event galleries is more persuasive than testimonials alone. The booking/inquiry flow should be warm and low-friction — avoid long forms; a name, date, and message are sufficient for first contact. Image-heavy pages must load fast on mobile — most couples browse on phones during commutes and downtime. Gallery filtering by event type, style, or venue helps visitors self-qualify. Accessibility matters: ensure all images have meaningful alt text and navigation is keyboard-accessible.","Soft, editorial elegance; warm tones, serif headings, romantic imagery, gold accents, and curated whitespace"
"Legal Services","legal, law, attorney, lawyer, law firm, litigation, legal services, compliance, counsel, solicitor","Authoritative and restrained. Typography should convey gravitas — use a strong serif for headings and a highly readable sans-serif for body. Color usage should be conservative and deliberate. Layouts should be structured and predictable; avoid anything that feels experimental or casual. Whitespace and alignment communicate discipline. Photography should show real people in professional settings, not generic handshake stock photos. The overall tone should say competent and trustworthy, not innovative and disruptive.","Lead with the firm's core differentiator in one clear sentence — what type of law and why this firm. Practice areas should be prominently displayed as clickable categories with brief descriptions. Attorney profiles with credentials, headshots, and areas of expertise build trust. Include a results or case outcomes section with quantified impact where possible. Trust signals: bar associations, awards, years of practice. CTA should be Schedule a Consultation — never Get Started or Sign Up. Contact information must be visible on every page. Avoid: animated heroes, informal tone, and pricing information since legal pricing is case-specific.","Client portals should organize around the active case. Display case status with clear stage indicators (intake, discovery, negotiation, resolution). Document management with version control and secure sharing. Communication log showing all correspondence. Billing section with detailed time entries, invoices, and payment status. Calendar integration for court dates, deadlines, and meetings. Secure messaging between client and attorney. Avoid: complex dashboards with analytics — clients want case progress, not metrics.","Navy blue as primary conveys authority and trust. Gold or warm brass accents add prestige without ostentation. Background should be clean white or light warm grey. Text colors should maximize readability — near-black body text, never medium grey. Limit the palette to 3-4 colors maximum. Avoid: bright blues that feel tech-startup, greens that imply finance, and any color that reduces perceived seriousness. Semantic colors for alerts should be used sparingly.","Trust and credibility are the only things that matter. Every design choice should reduce anxiety and communicate competence. Navigation must be predictable and shallow — practice areas, attorneys, about, contact. Page load speed matters for SEO and first impressions. Attorney profiles are the highest-traffic pages after the homepage; invest in their quality. Forms should be short and clearly indicate confidentiality. Mobile optimization is critical — potential clients often search for legal help on personal devices. Accessibility compliance (WCAG AA) is both ethical and legally prudent for a law firm.","Authoritative, restrained design; serif headings, navy palette, structured layouts, conservative typography, and trust-first hierarchy"
"Insurance Platform","insurance, policy, coverage, claims, underwriting, premium, insurance platform, insure, risk, actuary","Clean, professional, and reassuring. The visual language should communicate stability and reliability without feeling old-fashioned. Typography should be highly readable and accessible — avoid thin weights and small sizes. Use structured layouts with clear sections and generous padding. Illustration style (if used) should be clean and informative, not whimsical. The interface should feel approachable but not casual — insurance is serious business, and the design should respect that while reducing intimidation.","Hero should present a clear value proposition: what kind of insurance and the primary benefit (savings, coverage breadth, speed of claims). Below the fold: product comparison showing plans side-by-side with honest feature matrices. A quote calculator or zip-code-based CTA drives conversion. Trust signals are essential: financial ratings, regulatory compliance, number of customers served, years in business. FAQ section addressing common objections (cost, coverage gaps, claims process). Testimonials should focus on claims experiences, not just price. Avoid: fear-based messaging, fine-print disclaimers in hero sections, and complex jargon.","Policy overview as the primary view: active policies, coverage amounts, renewal dates, and payment status at a glance. Claims section with clear status tracking (submitted, under review, approved, paid) and expected timelines. Document center for policy documents, ID cards, and correspondence. Quick-action buttons for filing a claim, making a payment, and contacting support. Billing history with downloadable statements. Avoid: information overload — surface critical details and let users drill down. Progressive disclosure for policy details.","Trust blue as primary — it communicates reliability and calm. Green as secondary for positive states (active, approved, covered). Use amber sparingly for warnings (renewal approaching, coverage gap). Backgrounds should be clean and light. Avoid: red as a dominant color (triggers anxiety in insurance context), dark themes (reduce transparency perception), and overly vibrant accents. Ensure high contrast for all text, especially for older users who index higher in insurance markets.","Clarity and anxiety reduction drive every UX decision. Insurance jargon must be translated to plain language — use tooltips or inline definitions for technical terms. The quote-to-purchase flow should be completable in under 5 minutes. Progress indicators for multi-step processes are mandatory. Claims filing must be frictionless: pre-fill known information, support photo uploads for documentation, and confirm receipt immediately. Comparison tools should be honest and clear — never hide exclusions. Accessibility is critical given the broad age range of insurance customers. Performance must be fast, especially for quote calculators.","Clean, stable interface; trust-building blue palette, clear comparison layouts, reassuring feedback states, and accessible type scale"
"Banking / Traditional Finance","banking, bank, finance, traditional finance, checking, savings, mortgage, loan, credit, financial services","Institutional-grade with modern clarity. The design must convey security, stability, and competence above all else. Typography should be precise and legible — use a professional sans-serif with strong weight hierarchy. Layouts should be grid-aligned and predictable. Every pixel should feel intentional. Avoid: trendy design patterns, playful elements, and anything that suggests impermanence. The interface should feel secure, organized, and trustworthy. Density should be medium-high for account views.","Lead with the primary product (checking, savings, or lending) and its key differentiator (rates, fees, accessibility). Product cards should show concrete numbers — APY, fees, minimums — not vague promises. Comparison table for account tiers. Security section is non-negotiable: FDIC insurance, encryption badges, regulatory affiliations. Mobile app showcase with real screenshots. Branch/ATM locator for institutions with physical presence. CTA is Open an Account with estimated time to complete. Avoid: lifestyle imagery that says nothing about the product, hidden fees, and jargon-heavy descriptions.","Account summary as the default view: all accounts with current balances, recent transactions, and available funds. Transaction list should support search, filtering by date/amount/category, and export. Transfer functionality must be prominent and predictable — clearly show source, destination, amount, and timing. Bill pay and scheduled transactions in a dedicated section. Alerts and notifications for low balance, large transactions, and security events. Spending insights with category breakdowns can be valuable but should be secondary to account management. Avoid: cramming all features into the sidebar — use progressive disclosure.","Navy or dark blue as primary communicates institutional trust. White and light grey backgrounds ensure readability for dense financial data. Green for positive balances and deposits, red for withdrawals and overdrafts — these conventions are deeply learned and should not be subverted. Gold accents for premium tiers. Avoid: bright colors that feel frivolous, dark mode as default (transparency concerns), and gradients or decorative color usage. All color coding must be paired with non-color indicators for accessibility.","Security perception and data accuracy are paramount. Every transaction should confirm before executing and provide clear receipts. Session timeouts must be handled gracefully with save-state on sensitive forms. Authentication should support biometrics and MFA without adding excessive friction. Error messages must be specific and actionable — never show vague failure states. Performance is critical for account data — stale balance displays erode trust. Accessibility (WCAG AA minimum) is both a legal requirement and a user necessity given broad demographics. Print-friendly views for statements and tax documents. Zero tolerance for layout shifts — financial data must never jump on screen.","Institutional precision; navy palette, grid-locked layouts, security-forward chrome, high-contrast financial data, and zero decorative friction"
